0 0 181
0.1 0 105
0.2 0 88
0.3 0 90
0.4 0 76
0.5 0 69
0.6 0 80
0.7 0 73
0.8 0 75
0.9 0 73
1 0 77
0 0.1 181
0.1 0.1 105
0.2 0.1 88
0.3 0.1 75
0.4 0.1 82
0.5 0.1 76
0.6 0.1 82
0.7 0.1 71
0.8 0.1 77
0.9 0.1 75
1 0.1 77
0 0.2 181
0.1 0.2 105
0.2 0.2 83
0.3 0.2 76
0.4 0.2 72
0.5 0.2 81
0.6 0.2 77
0.7 0.2 74
0.8 0.2 73
0.9 0.2 77
1 0.2 68
0 0.3 181
0.1 0.3 92
0.2 0.3 79
0.3 0.3 84
0.4 0.3 76
0.5 0.3 83
0.6 0.3 77
0.7 0.3 66
0.8 0.3 66
0.9 0.3 69
1 0.3 71
0 0.4 181
0.1 0.4 92
0.2 0.4 83
0.3 0.4 79
0.4 0.4 77
0.5 0.4 72
0.6 0.4 69
0.7 0.4 63
0.8 0.4 74
0.9 0.4 69
1 0.4 71
0 0.5 181
0.1 0.5 91
0.2 0.5 76
0.3 0.5 83
0.4 0.5 72
0.5 0.5 75
0.6 0.5 66
0.7 0.5 75
0.8 0.5 74
0.9 0.5 69
1 0.5 71
0 0.6 181
0.1 0.6 91
0.2 0.6 76
0.3 0.6 78
0.4 0.6 80
0.5 0.6 65
0.6 0.6 74
0.7 0.6 77
0.8 0.6 74
0.9 0.6 69
1 0.6 71
0 0.7 181
0.1 0.7 91
0.2 0.7 86
0.3 0.7 78
0.4 0.7 75
0.5 0.7 80
0.6 0.7 70
0.7 0.7 77
0.8 0.7 74
0.9 0.7 69
1 0.7 71
0 0.8 181
0.1 0.8 88
0.2 0.8 75
0.3 0.8 78
0.4 0.8 80
0.5 0.8 80
0.6 0.8 73
0.7 0.8 77
0.8 0.8 74
0.9 0.8 69
1 0.8 71
0 0.9 181
0.1 0.9 88
0.2 0.9 84
0.3 0.9 78
0.4 0.9 75
0.5 0.9 70
0.6 0.9 73
0.7 0.9 77
0.8 0.9 74
0.9 0.9 69
1 0.9 71
0 1 181
0.1 1 88
0.2 1 84
0.3 1 78
0.4 1 70
0.5 1 73
0.6 1 73
0.7 1 77
0.8 1 74
0.9 1 69
1 1 71
